Algorithm,KLD_Spearman,KLD_Spearman_p
0,0.36,0.000878
1,-0.36,0.000904
2,0.34,0.00184
3,-0.34,0.00213
4,0.29,0.00925
5,-0.28,0.0122
6,-0.25,0.0233
7,-0.20,0.0687
8,0.11,0.321
9,-0.09,0.424
10,-0.08,0.478
11,0.05,0.686
12,-0.03,0.771
13,0.01,0.957
14,0.14,0.211
17,-0.14,0.213
