Qubit ID,Computer,Number of Algorithms Run,Total Gates Run,Mean KVD,Min KVD,Max KVD,Std of KVD,Spread of KVD,Median KVD,25th Percentile KVD,75th Percentile KVD,IQR of KVD
127,cusco,192,192,9.869384531658778,3.528850746877324e-05,19.67003580576978,7.852693685182849,19.67000051726231,12.455312865317893,0.5620621312043347,17.368048283622993,16.805986152418658
1,cusco,45,3517,10.662411540283456,3.528850746877324e-05,19.626779433658527,8.16362175456391,19.626744145151058,14.487399167286016,0.3052698011538969,17.465838464958207,17.16056866380431
2,cusco,40,4708,10.833360764680831,3.528850746877324e-05,19.626779433658527,8.233979539916643,19.626744145151058,14.503995371183713,0.24496839547800892,17.767724331476522,17.522755935998514
3,cusco,40,5910,10.829749268127069,3.528850746877324e-05,19.626779433658527,8.23874595816021,19.626744145151058,14.503995371183713,0.23110985391992792,17.767724331476522,17.536614477556594
4,cusco,62,7657,10.80742921066875,3.528850746877324e-05,19.626779433658527,8.009844826931554,19.626744145151058,14.494768265551382,0.23042302133423415,17.45322026592609,17.222797244591856
5,cusco,38,2828,8.98410864965099,0.00014452502428048165,19.626779433658527,7.9354285063689405,19.626634908634248,11.630047342585115,0.22070584362684573,16.772658178544283,16.551952334917438
6,cusco,54,5442,8.74716810410086,0.00010954061342220191,19.626779433658527,7.966753171475283,19.626669893045104,9.795288341025039,0.23042302133423415,16.772658178544283,16.542235157210047
7,cusco,51,8048,8.644194094315885,0.00010954061342220191,19.626779433658527,7.991614648060149,19.626669893045104,9.423282037811274,0.2287572686759312,16.94327891316683,16.714521644490898
8,cusco,54,9372,9.114863745424826,0.00010954061342220191,19.626779433658527,8.02859052351111,19.626669893045104,11.604676546198839,0.24084581543467581,17.352263474568534,17.11141765913386
15,cusco,70,6150,10.453742194460347,3.528850746877324e-05,19.626779433658527,8.012259494192344,19.626744145151058,13.17347304238275,0.23042302133423415,17.434762455775115,17.20433943444088
16,cusco,51,5763,9.544356525262582,0.00010954061342220191,19.626779433658527,8.114908558713042,19.626669893045104,13.08663002714416,0.2773069001424087,17.442328782276846,17.165021882134436
22,cusco,74,8302,10.435431813942268,3.528850746877324e-05,19.626779433658527,7.916192010455796,19.626744145151058,13.150004823911477,0.24084581543467581,17.422920824818277,17.182075009383603
23,cusco,64,8327,10.71836200092829,3.528850746877324e-05,19.626779433658527,7.802493536307566,19.626744145151058,13.150004823911477,0.29244550746377534,17.44281061126501,17.150365103801235
24,cusco,105,18058,10.090263243450252,3.528850746877324e-05,19.626779433658527,7.851044996885998,19.626744145151058,13.092258874152744,0.2426739244745187,17.41298588538193,17.17031196090741
26,cusco,68,10159,8.76148637034024,6.49939467409098e-05,19.626779433658527,8.102077845278632,19.626714439711787,9.795288341025039,0.22827435760394116,17.14774149797656,16.91946714037262
27,cusco,59,5488,9.010573752271247,6.49939467409098e-05,19.626779433658527,8.151740746846027,19.626714439711787,9.423282037811274,0.24015149748726322,17.392878354292208,17.152726856804943
28,cusco,77,10059,10.145905091078244,0.00010954061342220191,19.33585336471729,7.924829863785438,19.33574382410387,13.092258874152744,0.2573215518812626,17.414706241655406,17.157384689774144
34,cusco,102,15154,9.904704638501709,3.528850746877324e-05,19.626779433658527,7.875551423295181,19.626744145151058,13.072415090787139,0.23975687517838665,17.412230854836285,17.172473979657898
35,cusco,73,9568,10.524620410416416,0.00010954061342220191,19.33585336471729,7.895330591343687,19.33574382410387,13.183504329487501,0.24702968549967544,17.427302132706238,17.180272447206562
41,cusco,126,13502,9.748786067246765,6.49939467409098e-05,19.626779433658527,7.693906357181527,19.626714439711787,13.072415090787139,0.6889614703357045,17.093894642426775,16.40493317209107
42,cusco,99,11198,9.930545807256317,6.49939467409098e-05,19.626779433658527,7.708923850398827,19.626714439711787,13.092258874152744,0.7121899826386694,17.17140756355763,16.45921758091896
43,cusco,123,18472,9.889605403166094,3.528850746877324e-05,19.626779433658527,7.865766250835799,19.626744145151058,13.08663002714416,0.24209619701801793,17.37764199136781,17.13554579434979
44,cusco,106,10261,10.439944263029785,3.528850746877324e-05,19.626779433658527,7.89106626728215,19.626744145151058,13.130023407017104,0.24376286473080788,17.422920824818277,17.17915796008747
45,cusco,135,16296,10.107570256566223,3.528850746877324e-05,19.626779433658527,8.04976753722717,19.626744145151058,13.123478921489255,0.24015149748726322,17.424760016094282,17.184608518607018
46,cusco,93,13381,10.8286544020059,0.00044407225999858364,19.536470211322175,7.903846171886692,19.536026139062177,14.458746833545277,0.30758411478514197,17.437605783934465,17.130021669149322
47,cusco,101,14627,10.332289298999152,0.00010954061342220191,19.536470211322175,7.947777102608915,19.536360670708753,13.136567892544953,0.2426739244745187,17.414706241655406,17.172032317180886
53,cusco,115,12341,9.711580176340311,6.49939467409098e-05,19.626779433658527,7.7809924060826,19.626714439711787,13.08663002714416,0.30642695796951946,17.05743280047059,16.75100584250107
54,cusco,122,13550,10.226367717174442,3.528850746877324e-05,19.626779433658527,8.084925128861748,19.626744145151058,13.150004823911477,0.2385649573680835,17.42549624369567,17.186931286327585
60,cusco,131,19582,9.63568197918425,6.49939467409098e-05,19.626779433658527,7.839758629504402,19.626714439711787,13.08663002714416,0.2442740775305963,17.05743280047059,16.813158722939992
61,cusco,119,11211,9.74072805623804,6.49939467409098e-05,19.626779433658527,7.879722150154305,19.626714439711787,13.092258874152744,0.2442740775305963,17.17140756355763,16.92713348602703
62,cusco,138,18439,9.764322574742534,3.528850746877324e-05,19.626779433658527,7.959319027494979,19.626744145151058,13.092938090793883,0.24180733328976753,17.387235699112622,17.145428365822855
